Fragment,Count,Time (ms),Size (bytes)
CodeSystem.changes,2,0,0
CodeSystem.content,2,0,1646
CodeSystem.nsinfo,2,1,0
CodeSystem.summary,2,0,2265
CodeSystem.summary-table,2,0,2265
CodeSystem.xref,2,1,239
Cross.canonical-index,1,0,36697
Cross.codesystem-list,1,0,700
Cross.codesystem-ref-all-list,1,3,20847
Cross.codesystem-ref-list,1,3,20847
Cross.cross-version-analysis,1,0,0
Cross.cross-version-analysis-inline,1,0,0
Cross.deleted-extensions,1,7,13
Cross.dependency-table,1,0,23478
Cross.dependency-table-nontech,1,0,3271
Cross.dependency-table-short,1,0,19130
Cross.deprecated-list,1,7,28
Cross.expansion-params,1,0,0
Cross.extension-list,1,1,1077
Cross.extension-list-,230,26,374559
Cross.extension-search-list,162,0,3078
Cross.globals-table,1,0,64
Cross.ip-statements,1,12,3600
Cross.list-accounts,1,0,0
Cross.list-accounts-json,1,0,0
Cross.list-accounts-xml,1,0,0
Cross.list-activitydefinitions,1,0,0
Cross.list-activitydefinitions-json,1,0,0
Cross.list-activitydefinitions-xml,1,0,0
Cross.list-actordefinitions,1,0,0
Cross.list-actordefinitions-json,1,1,0
Cross.list-actordefinitions-xml,1,1,0
Cross.list-administrableproductdefinitions,1,0,0
Cross.list-administrableproductdefinitions-json,1,1,0
Cross.list-administrableproductdefinitions-xml,1,1,0
Cross.list-adverseevents,1,0,0
Cross.list-adverseevents-json,1,1,0
Cross.list-adverseevents-xml,1,1,0
Cross.list-allergyintolerances,1,0,0
Cross.list-allergyintolerances-json,1,1,0
Cross.list-allergyintolerances-xml,1,1,0
Cross.list-appointmentresponses,1,0,0
Cross.list-appointmentresponses-json,1,1,0
Cross.list-appointmentresponses-xml,1,1,0
Cross.list-appointments,1,0,0
Cross.list-appointments-json,1,1,0
Cross.list-appointments-xml,1,1,0
Cross.list-artifactassessments,1,0,0
Cross.list-artifactassessments-json,1,1,0
Cross.list-artifactassessments-xml,1,1,0
Cross.list-auditevents,1,0,0
Cross.list-auditevents-json,1,0,0
Cross.list-auditevents-xml,1,0,0
Cross.list-basics,1,0,0
Cross.list-basics-json,1,0,0
Cross.list-basics-xml,1,0,0
Cross.list-binaries,1,1,104
Cross.list-binaries-json,1,1,109
Cross.list-binaries-xml,1,1,108
Cross.list-biologicallyderivedproductdispenses,1,0,0
Cross.list-biologicallyderivedproductdispenses-json,1,0,0
Cross.list-biologicallyderivedproductdispenses-xml,1,0,0
Cross.list-biologicallyderivedproducts,1,0,0
Cross.list-biologicallyderivedproducts-json,1,0,0
Cross.list-biologicallyderivedproducts-xml,1,0,0
Cross.list-bodystructures,1,0,0
Cross.list-bodystructures-json,1,0,0
Cross.list-bodystructures-xml,1,0,0
Cross.list-bundles,1,0,0
Cross.list-bundles-json,1,0,0
Cross.list-bundles-xml,1,0,0
Cross.list-byid-accounts,1,0,0
Cross.list-byid-accounts-json,1,0,0
Cross.list-byid-accounts-xml,1,1,0
Cross.list-byid-activitydefinitions,1,0,0
Cross.list-byid-activitydefinitions-json,1,0,0
Cross.list-byid-activitydefinitions-xml,1,0,0
Cross.list-byid-actordefinitions,1,0,0
Cross.list-byid-actordefinitions-json,1,1,0
Cross.list-byid-actordefinitions-xml,1,1,0
Cross.list-byid-administrableproductdefinitions,1,0,0
Cross.list-byid-administrableproductdefinitions-json,1,1,0
Cross.list-byid-administrableproductdefinitions-xml,1,1,0
Cross.list-byid-adverseevents,1,0,0
Cross.list-byid-adverseevents-json,1,0,0
Cross.list-byid-adverseevents-xml,1,1,0
Cross.list-byid-allergyintolerances,1,0,0
Cross.list-byid-allergyintolerances-json,1,1,0
Cross.list-byid-allergyintolerances-xml,1,1,0
Cross.list-byid-appointmentresponses,1,0,0
Cross.list-byid-appointmentresponses-json,1,0,0
Cross.list-byid-appointmentresponses-xml,1,1,0
Cross.list-byid-appointments,1,0,0
Cross.list-byid-appointments-json,1,0,0
Cross.list-byid-appointments-xml,1,0,0
Cross.list-byid-artifactassessments,1,0,0
Cross.list-byid-artifactassessments-json,1,0,0
Cross.list-byid-artifactassessments-xml,1,1,0
Cross.list-byid-auditevents,1,0,0
Cross.list-byid-auditevents-json,1,0,0
Cross.list-byid-auditevents-xml,1,0,0
Cross.list-byid-basics,1,0,0
Cross.list-byid-basics-json,1,0,0
Cross.list-byid-basics-xml,1,0,0
Cross.list-byid-binaries,1,0,104
Cross.list-byid-binaries-json,1,1,109
Cross.list-byid-binaries-xml,1,1,108
Cross.list-byid-biologicallyderivedproductdispenses,1,0,0
Cross.list-byid-biologicallyderivedproductdispenses-json,1,1,0
Cross.list-byid-biologicallyderivedproductdispenses-xml,1,1,0
Cross.list-byid-biologicallyderivedproducts,1,0,0
Cross.list-byid-biologicallyderivedproducts-json,1,0,0
Cross.list-byid-biologicallyderivedproducts-xml,1,0,0
Cross.list-byid-bodystructures,1,0,0
Cross.list-byid-bodystructures-json,1,1,0
Cross.list-byid-bodystructures-xml,1,1,0
Cross.list-byid-bundles,1,0,0
Cross.list-byid-bundles-json,1,1,0
Cross.list-byid-bundles-xml,1,1,0
Cross.list-byid-canonicalresources,1,0,0
Cross.list-byid-canonicalresources-json,1,0,0
Cross.list-byid-canonicalresources-xml,1,0,0
Cross.list-byid-capabilitystatements,1,0,0
Cross.list-byid-capabilitystatements-json,1,0,0
Cross.list-byid-capabilitystatements-xml,1,0,0
Cross.list-byid-careplans,1,0,0
Cross.list-byid-careplans-json,1,0,0
Cross.list-byid-careplans-xml,1,0,0
Cross.list-byid-careteams,1,0,0
Cross.list-byid-careteams-json,1,0,0
Cross.list-byid-careteams-xml,1,1,0
Cross.list-byid-chargeitemdefinitions,1,0,0
Cross.list-byid-chargeitemdefinitions-json,1,0,0
Cross.list-byid-chargeitemdefinitions-xml,1,0,0
Cross.list-byid-chargeitems,1,0,0
Cross.list-byid-chargeitems-json,1,0,0
Cross.list-byid-chargeitems-xml,1,0,0
Cross.list-byid-citations,1,0,0
Cross.list-byid-citations-json,1,0,0
Cross.list-byid-citations-xml,1,1,0
Cross.list-byid-claimresponses,1,0,0
Cross.list-byid-claimresponses-json,1,0,0
Cross.list-byid-claimresponses-xml,1,0,0
Cross.list-byid-claims,1,0,0
Cross.list-byid-claims-json,1,1,0
Cross.list-byid-claims-xml,1,1,0
Cross.list-byid-clinicalimpressions,1,0,0
Cross.list-byid-clinicalimpressions-json,1,0,0
Cross.list-byid-clinicalimpressions-xml,1,2,0
Cross.list-byid-clinicalusedefinitions,1,0,0
